time,group_id,please,please_start,has_hedge,indirect_(btw),hedges,factuality,deference,gratitude,apologizing,1st_person_plural,1st_person,1st_person_start,2nd_person,2nd_person_start,indirect_(greeting),direct_question,direct_start,has_positive,has_negative,subjunctive,indicative,age_of_acquisition,concreteness,familiarity,imageability
5,20.Blue.1,0,0,0.25,0,0.21,0,0,0,0,0.1,0.23,0,0.04,0,0,0.02,0,0,0,0,0,33.6,231.48,418.14,243.05
1,21.Blue.1,0,0,0.14,0,0.09,0.02,0,0,0,0.08,0.48,0,0.1,0,0,0.07,0,0.26,0.04,0,0,76.46,207.3,416.62,217.47
2,21.Blue.1,0,0,0.11,0,0.03,0,0,0,0,0.04,0.25,0,0.12,0,0,0,0,0.15,0.04,0,0,31.01,188.38,386.2,198.02
3,21.Blue.1,0,0,0.13,0,0.05,0,0,0,0,0.1,0.35,0,0.11,0,0,0.03,0,0.18,0.22,0,0,41.18,233.84,468.71,250.17
4,21.Blue.1,0,0,0.13,0,0.05,0.03,0,0,0,0.05,0.05,0,0.08,0,0,0,0,0.14,0,0,0,25.88,167.16,324.31,173.95
5,21.Blue.1,0,0,0.25,0,0.15,0.04,0,0,0,0.07,0.26,0,0.15,0,0,0,0,0.23,0.06,0,0,83.74,233.92,452.6,248.77
1,22.Blue.1,0,0,0.08,0,0.08,0.03,0,0,0,0.03,0.37,0,0.09,0,0,0.05,0,0.19,0.1,0,0,63.09,283.35,516.98,300.2
2,22.Blue.1,0,0,0.16,0,0.13,0,0,0,0,0.1,0.44,0.03,0.24,0,0,0,0.03,0.14,0.13,0,0,82.8,290.88,543.41,306.72
3,22.Blue.1,0,0,0.12,0,0.09,0,0,0,0,0.11,0.31,0,0.16,0,0,0.03,0,0.09,0.07,0,0,93.18,259.97,495.56,271.66
4,22.Blue.1,0,0,0.11,0,0.03,0,0,0,0,0.14,0.31,0.03,0.1,0,0,0.05,0.03,0.13,0.05,0,0,88.42,252.78,467.14,271.37
5,22.Blue.1,0,0,0.22,0,0.08,0,0,0,0,0.27,0.14,0,0.06,0,0,0,0,0.1,0,0,0,36.87,202.28,398.76,218.62
1,23.Orange.1,0,0,0.03,0,0.01,0.04,0,0,0,0.02,0.22,0,0.22,0,0,0.04,0.01,0.3,0.07,0,0,48.93,228.44,468.96,243.36
2,23.Orange.1,0,0,0.14,0,0.1,0,0,0,0,0.06,0.25,0,0.26,0,0,0.04,0.02,0.32,0.06,0,0,41.74,227.49,462.78,246.04
3,23.Orange.1,0,0,0.14,0,0.12,0.06,0,0,0.01,0.05,0.21,0,0.16,0,0.01,0.01,0,0.26,0.07,0.01,0,46.81,234.2,465.96,252.1
4,23.Orange.1,0,0,0.18,0,0.15,0.02,0,0,0,0.11,0.26,0,0.16,0,0,0.06,0,0.22,0.12,0,0.01,27.16,196.91,406.77,212.74
5,23.Orange.1,0,0,0.16,0,0.09,0.04,0,0,0,0.11,0.23,0.01,0.12,0,0,0.08,0.04,0.26,0.05,0,0,38.84,211.86,438.84,232.85
1,24.Blue.1,0,0,0.1,0,0.06,0.02,0,0,0.01,0.01,0.25,0,0.16,0,0,0.02,0,0.23,0.15,0.01,0,43.96,217.15,424.85,236.48
2,24.Blue.1,0,0,0.19,0,0.16,0.02,0,0,0,0.14,0.23,0.02,0.19,0,0,0,0.01,0.24,0.05,0,0,40.76,215.86,440.66,234.86
3,24.Blue.1,0,0,0.11,0,0.05,0.02,0,0,0.01,0.12,0.21,0,0.1,0,0,0.02,0,0.26,0.18,0,0,64.36,219.98,433.84,246.1
4,24.Blue.1,0,0,0.19,0,0.12,0.01,0,0,0,0.15,0.24,0.01,0.11,0,0,0.03,0,0.25,0.05,0,0.02,54.12,244.96,488.91,258.77
5,24.Blue.1,0,0,0.16,0,0.06,0,0,0,0,0.08,0.15,0.03,0.06,0,0,0.01,0.01,0.15,0.07,0,0,57,222.15,431.23,237.61
1,25.Pink.1,0,0,0.15,0,0.08,0,0,0,0,0.03,0.18,0,0.15,0,0,0.03,0.02,0.2,0.08,0,0,40.87,207.43,406.63,216.38
2,25.Pink.1,0,0,0.13,0,0.08,0,0,0,0,0,0.17,0,0.09,0,0,0.05,0,0.18,0.03,0.02,0.01,52.91,213.75,409.53,223.63
3,25.Pink.1,0,0,0.13,0,0.1,0,0,0,0.02,0.04,0.23,0,0.06,0,0,0.11,0.01,0.2,0.09,0,0,58.78,199.2,389.69,211.45
4,25.Pink.1,0,0,0.11,0,0.09,0,0,0,0,0.06,0.11,0,0.03,0,0,0.02,0,0.2,0,0.02,0,48.4,162.29,332.39,173.3
5,25.Pink.1,0,0,0.05,0,0.03,0.02,0,0,0,0.14,0.08,0,0.04,0,0,0.08,0,0.16,0.06,0.02,0,36.85,207.45,420.51,225.13
1,26.Pink.1,0,0,0.19,0,0.19,0,0,0,0,0.08,0.39,0,0.03,0,0,0.02,0,0.27,0.03,0,0,59.45,233.65,456.37,259.69
2,26.Pink.1,0,0,0.11,0,0.09,0.03,0,0,0,0.16,0.11,0,0.11,0,0,0,0.03,0.1,0.08,0,0,31.87,198.55,382,220.49
3,26.Pink.1,0,0,0.12,0,0.08,0,0,0,0,0.1,0.2,0,0.08,0,0,0.07,0,0.22,0.04,0.04,0,52.89,224.52,446.79,237.91
4,26.Pink.1,0,0,0.31,0,0.28,0,0,0,0,0.03,0.27,0,0.16,0,0,0.03,0,0.17,0.08,0,0,67.98,223.9,414.82,233.99
5,26.Pink.1,0,0,0.18,0,0.16,0.02,0,0,0,0.05,0.29,0,0.24,0,0,0.02,0,0.23,0.02,0,0,73.3,260.87,465.53,271.84
1,27.Pink.1,0,0,0.09,0,0.07,0,0,0,0.01,0.12,0.23,0,0.1,0,0,0.02,0,0.25,0.12,0.01,0,38.54,207.96,391.61,223.04
2,27.Pink.1,0,0,0.12,0,0.09,0,0,0,0.01,0.09,0.41,0,0.12,0,0,0,0,0.4,0.11,0,0,50.81,232.65,433.16,250.61
3,27.Pink.1,0,0,0.13,0,0.13,0.01,0,0,0,0.13,0.42,0.02,0.01,0,0,0.02,0,0.21,0.12,0,0,53.06,262.6,496.66,272.45
4,27.Pink.1,0,0,0.14,0,0.06,0,0,0,0,0.14,0.18,0.01,0.03,0,0,0.02,0.01,0.33,0.07,0,0,37.31,180.27,362.05,194.44
5,27.Pink.1,0,0,0.17,0,0.13,0,0,0,0,0.13,0.3,0,0.11,0,0,0.02,0.01,0.25,0,0.02,0.02,43.8,202.35,411.74,214
1,28.Blue.1,0,0,0.05,0,0.04,0.02,0,0,0,0.01,0.24,0,0.12,0,0,0.02,0.01,0.25,0.09,0,0,59.68,221.8,442.5,238.04
2,28.Blue.1,0,0,0.17,0,0.1,0.01,0,0.01,0,0.04,0.24,0,0.1,0,0,0.03,0,0.23,0.22,0,0,59.99,213.23,405.71,229.03
3,28.Blue.1,0,0,0.18,0,0.09,0,0,0,0.01,0.02,0.2,0,0.23,0,0,0.04,0,0.23,0.15,0,0,67.19,241.19,447.63,258.77
4,28.Blue.1,0,0,0.12,0,0.06,0,0,0,0,0.12,0.22,0.03,0.09,0,0,0,0.01,0.17,0.05,0,0,44.93,207.05,406.41,227.69
5,28.Blue.1,0,0,0.17,0,0.16,0.03,0,0,0,0.08,0.22,0.01,0.09,0,0,0.03,0,0.29,0.11,0,0,58.91,211.27,383.53,226.49
1,3.Green.1,0,0,0.11,0,0.04,0.02,0,0,0,0.02,0.31,0.02,0.25,0,0,0.02,0,0.16,0.04,0,0,49,193.33,395.34,206.56
2,3.Green.1,0,0,0.16,0,0.1,0,0,0,0,0.02,0.23,0,0.32,0,0,0.06,0,0.2,0.06,0,0,70.23,206.29,382.66,211.06
3,3.Green.1,0,0,0.2,0,0.12,0,0,0,0,0.05,0.18,0,0.15,0,0,0.02,0,0.24,0.13,0,0.02,74.5,224.05,440.58,238.45
4,3.Green.1,0,0,0.14,0,0.08,0.03,0,0,0,0.08,0.18,0.03,0.18,0,0,0,0,0.22,0.05,0,0,55.96,197.02,422.26,207.98
5,3.Green.1,0,0,0.16,0,0.08,0,0,0.02,0,0.06,0.08,0,0.13,0,0,0,0,0.26,0.1,0,0,35.9,197,402.31,212.9
1,4.Blue.1,0,0,0.16,0,0,0,0,0,0,0.02,0.25,0,0.09,0,0,0.07,0,0.22,0.02,0,0,82.42,223.17,431.05,235.09
2,4.Blue.1,0,0,0.13,0,0.04,0,0,0,0,0.02,0.13,0,0.05,0,0,0,0,0.14,0.13,0,0,46.86,206.46,364.43,223.14
3,4.Blue.1,0,0,0.16,0,0.11,0,0,0,0,0.08,0.22,0,0,0,0,0.03,0,0.24,0.03,0,0,46.58,170.32,361.11,183.48
4,4.Blue.1,0,0,0.14,0,0.06,0,0,0,0,0.05,0.06,0,0.1,0,0,0.06,0,0.26,0,0,0,70.34,241.6,449.47,246.8
5,4.Blue.1,0,0,0.2,0,0.07,0,0,0,0,0.02,0.18,0,0.02,0,0,0,0,0.07,0.03,0,0,69.87,208.81,405.5,216.04
1,5.Orange.1,0,0,0.17,0,0.12,0.01,0,0,0.01,0.07,0.29,0.02,0.19,0,0,0.01,0,0.26,0.13,0.01,0,64.9,199.43,411.35,213.76
2,5.Orange.1,0,0,0.18,0,0.06,0.05,0,0,0,0.06,0.14,0,0.13,0,0,0.03,0.01,0.25,0.13,0.01,0,52.86,213.4,438.3,225.68
3,5.Orange.1,0,0,0.13,0,0.03,0,0,0,0,0.08,0.11,0,0.13,0.02,0,0.05,0,0.27,0.02,0.02,0,44.44,207.06,408.13,219.07
4,5.Orange.1,0,0,0.18,0,0.14,0.07,0,0,0,0.08,0.36,0,0.14,0,0,0.04,0,0.38,0.13,0,0,38.3,231.5,460.92,242.82
5,5.Orange.1,0,0,0.2,0,0.12,0.02,0,0,0,0.04,0.31,0,0.2,0,0,0.06,0,0.3,0.12,0,0,90.98,235.33,474.91,247.81
1,6.Blue.1,0,0,0.11,0,0.08,0.02,0,0,0,0.1,0.18,0,0.06,0,0,0.02,0.01,0.2,0.06,0,0,43.32,164.57,348.52,182.74
2,6.Blue.1,0,0,0.04,0,0.02,0,0,0,0.01,0.05,0.2,0,0.05,0,0,0.01,0.01,0.22,0.06,0,0,32.06,188.32,380.07,200.12
3,6.Blue.1,0,0,0.09,0,0.06,0.03,0,0,0.01,0.05,0.09,0,0.13,0,0,0,0,0.14,0.07,0,0,41.56,187.28,407.1,204.44
4,6.Blue.1,0,0,0.08,0,0.07,0.05,0,0,0,0.09,0.19,0,0.14,0,0,0.03,0,0.2,0.13,0,0,70.32,208.58,403.68,222.12
5,6.Blue.1,0,0,0.12,0,0.08,0.02,0,0,0,0.04,0.18,0,0.08,0,0,0,0,0.06,0.14,0,0,43.34,219.01,402.69,228.12
1,7.Orange.1,0,0,0.18,0,0.13,0.02,0,0,0,0,0.48,0.01,0.05,0,0,0.02,0,0.38,0.05,0,0,82.76,247.61,494.59,262.89
2,7.Orange.1,0,0,0.1,0,0.06,0.03,0,0,0,0,0.43,0,0.05,0,0,0.01,0,0.19,0.1,0,0,49.39,257.02,456.69,265.84
3,7.Orange.1,0,0,0.27,0,0.15,0.05,0,0,0,0.01,0.39,0.01,0.19,0,0,0,0,0.26,0.12,0.01,0,74.84,248.84,451.39,265.26
4,7.Orange.1,0,0,0.26,0,0.11,0.04,0,0,0,0.05,0.29,0,0.23,0,0,0,0,0.22,0.09,0.03,0,64.18,243.16,488.7,264.68
5,7.Orange.1,0,0,0.21,0,0.07,0.02,0,0,0,0.04,0.16,0,0.05,0,0,0.01,0,0.22,0.06,0,0,38.78,207.77,385.3,218.62
1,8.Blue.1,0,0,0.1,0,0.06,0.01,0,0,0,0.04,0.34,0,0.12,0,0,0.02,0.02,0.17,0.13,0,0,58.43,236,450.59,252.06
2,8.Blue.1,0,0,0.11,0,0.05,0.01,0,0,0.02,0.11,0.26,0,0.17,0,0,0.02,0.03,0.23,0.1,0,0,71.72,236.53,450.54,253.64
3,8.Blue.1,0,0,0.08,0,0.03,0.04,0,0,0,0.12,0.26,0,0.13,0,0,0.03,0.02,0.1,0.02,0,0,65.72,229.65,436.14,243.93
4,8.Blue.1,0,0,0.11,0,0.08,0.01,0,0,0,0.1,0.25,0,0.07,0,0,0,0.01,0.23,0.05,0,0,60.46,232.42,442.44,246.81
5,8.Blue.1,0,0,0.13,0,0.08,0.06,0,0,0,0.08,0.2,0,0.05,0,0,0.03,0,0.19,0.06,0,0,68.5,213.44,410.27,228.36
1,9.Green.1,0,0,0.04,0,0.03,0.03,0,0,0,0,0.26,0,0.09,0,0,0,0,0.07,0.07,0,0,56.35,251.96,437.32,265.75
2,9.Green.1,0,0,0.04,0,0.03,0.04,0,0,0,0,0.3,0,0.13,0,0,0,0.02,0.14,0.04,0.01,0,57.26,234.05,401.25,245.32
3,9.Green.1,0,0,0.03,0,0.03,0,0,0,0,0.09,0.27,0,0.07,0,0,0,0,0.08,0.03,0,0,52.86,214.91,388.68,234.48
4,9.Green.1,0,0,0.02,0,0.02,0.01,0,0,0.01,0.05,0.31,0,0.03,0,0,0,0,0.02,0.09,0,0,93.12,240.74,429.34,253.4
5,9.Green.1,0,0,0.1,0,0.02,0,0,0,0,0.05,0.26,0,0.14,0,0,0,0,0.2,0.05,0,0,45.56,247.7,449.79,260.78
